id,comment_id,text_original,lang_model,is_kazakh_model,is_toxic,toxic,obscene,threat,insult,hate,explanation
0,UgwQ0sI9XYLlZ49FvOl4AaABAg,Мына қойлар сігәп бітті малдарды жинап алған құр тонап жүр елді,kk,True,True,True,False,False,True,False,"Пікірде 'қойлар', 'малдар' деген кемсіту сөздері бар, бұл адамдарды төмендету мақсатында қолданылған."
1,UgwCm4vOhM7_w3oEhON4AaABAg,Алматы азаматтары жарайсыңдар алға,kk,True,False,False,False,False,False,False,"Пікір позитивті, қолдау білдіреді, агрессия немесе кемсіту жоқ."
2,UgzmFC00qiAYhuALblJ4AaABAg,Қайрат Құдайбергенов шықтыма?,kk,True,False,False,False,False,False,False,"Сұрақ түріндегі пікір, ешқандай токсиктілік немесе кемсіту жоқ."
3,UgyFDkkHQwCG9iZiriN4AaABAg,"Санжар молодец ,поймите один в поле не воин ,қазақтар терпила болып жүріңдер ,бірақ менің бабам батыр болғаң деп үрмендер ,батырдың үрпағы осындай қоркақ ,бишара болама ,батырлар отан үшің ,ел үшің жаңың қиған ,қазіргі еркектерді еркек деп айтуға аузың бармайды ,қойңыңдағы қатындарынан қоркады ,сүмелек",kk,True,True,True,False,False,True,False,"Пікірде 'терпила', 'қорқау', 'бишара' сияқты кемсіту сөздері бар, адамдарды төмендетеді."
4,Ugwo7_t8DiAVTQ05zQx4AaABAg,Әдемі ризамын,kk,True,False,False,False,False,False,False,"Пікір оң және құрметті, токсиктілік жоқ."
5,UgwM9vshfirWNpAC4hp4AaABAg,"Алла жар болсын сізге, денсаулық берсін",kk,True,False,False,False,False,False,False,"Жақсы тілек білдірілген, токсиктілік жоқ."
6,UgzQaUa67-7KIIj2a4t4AaABAg,Ассалаумағалейкум. Енді не істеуіміз керек? Қолдан не келеді бұл сасық үкіметке?,kk,True,True,True,True,False,False,False,"'Сасық үкіметке' деген балағат сөз бар, бұл obscene және toxic категориясына жатады."
7,Ugwme9msDIj-dpOiqJV4AaABAg,"Керемет талдау,  Санжар!!!",kk,True,False,False,False,False,False,False,"Қолдау және мақтау, токсиктілік жоқ."
8,UgwNPJzR2KT7oGZfHcp4AaABAg,Жемқорстан !!! 🤭,kk,True,True,True,True,False,False,False,"'Жемқорстан' сөзі - дөрекі, балағаттау ретінде қолданылған."
9,UgyDZzIGqnKqsXTjFfh4AaABAg,"Ел болмаймыз,өкінішке орай☹️Жемқорлар бұрынғыдан да артық көбейіп барады😖",kk,True,False,False,False,False,False,False,"Пікірде өкініш білдірілген, агрессия немесе балағат сөз жоқ."
10,UgzADfeWSRngalH3j5J4AaABAg,"(өкiмет басшыларына: Ұрланған миллиардтарды елге кайтарып, Аталарымның арнайы маған деп қорғап, дайындап қойған жердiң, қазба-байлығынан үлесiмдi берiңiздер. Сiздердiң жалған автопромдары мен жалған завод, фабрикаларың қажетi жоқ. Жерде тiршiлiк басталғалы берi осы жерде тұрып, өсiп-өнiп келген Ата-бабаларымнан қалған үлесiмдi берiңiздер, нағыз автопромы дамыған елден, сапалы көлiк алгым келедi! Сiздердiң халыаққа түк кажеттерiңiз жоқ!",kk,True,False,False,False,False,False,False,"Талап пен өтініш білдірілген, агрессия немесе балағат сөз жоқ."
11,Ugw5_N4A2SHCp2M36Cd4AaABAg,Осынын бари бекер го Путин кетпей бул система озгермейди,kk,True,False,False,False,False,False,False,"Пікір саяси көзқарасты білдіреді, токсиктілік жоқ."
12,UgwBrNlcWTWizRcvb514AaABAg.9tmfXL5MHY19tmucNBSxoo,"Дұрыс айтасыз! Қаңтарда: әкімдер, министрлер, ректорлар, депутаттар, президент аппараты: үйлерінде тығылып қалған!: 
елді де!
Жерді ле!
Тілді де!
Стратегиялық нысандарды да!
Халықты да!: ҚОРҒАҒАН ЖОҚ! 
Атом жарылса қайдан қорғайды!",kk,True,True,True,False,False,False,False,"Пікірде билікке қарсы сын бар, бірақ балағат немесе қорқыту жоқ."
13,UgzcuVzYOmZYFKrLlrd4AaABAg,Ассалаумағалейкум. Айлық жүрсе болды деп отырған шығар? Артық айтсам Құдай кешірсін.,kk,True,False,False,False,False,False,False,"Қарапайым пікір, ешқандай агрессия немесе балағат сөз жоқ."
14,UgykVeZSAtAFtw8pEXR4AaABAg,Корупция керек жок.,kk,True,False,False,False,False,False,False,"Қысқа пікір, токсиктілік жоқ."
15,UgwuDPKZskk8Xkm5dfR4AaABAg,ШЫҒУ КЕРЕК еврзс одкб жауз орыстың одағынан .,kk,True,True,True,False,False,False,True,"'еврзс', 'орыс' деген сөздер арқылы этникалық топқа қатысты өшпенділік бар."
16,UgxSSfahecMMBQN6KuZ4AaABAg,"Санжар - шығамыз , қолдаймыз 🇰🇿👍💪",kk,True,False,False,False,False,False,False,"Қолдау білдірілген, токсиктілік жоқ."
17,UgzXJ9-jevryK1rsgB54AaABAg,Жарайсың Санжар !!!,kk,True,False,False,False,False,False,False,"Мақтау, агрессия немесе балағат сөз жоқ."
18,UgwiC7_pmF7FdV4uKEB4AaABAg,Да у нас Назарбай и Тоңқайски провительства  уничтожает Народ,kk,True,True,True,False,False,False,True,"Пікірде 'уничтожает Народ' деген өшпенділік және кемсіту бар, билікке қарсы қатты сын."
19,Ugz0AEDABfk1IeHqDfR4AaABAg,"Айналайын аман жүр! Сені Алла қолдайды,халқың қолдайды!",kk,True,False,False,False,False,False,False,"Жақсы тілек, токсиктілік жоқ."
20,Ugz_3nOu_9kFcSyVb5x4AaABAg,"Букiл Казак елiне , коздерiн бокырайтып алып Калай отiрiк айтады?
Беттерi кызармайды!
🤦🤦🤦",kk,True,True,True,True,False,True,False,"'коздерiн бокырайтып', 'беттeрі қызармайды' деген балағат және кемсіту бар."
21,UgzdXo3B6qA6HUB8Gm94AaABAg,Министр мен бірге.,kk,True,False,False,False,False,False,False,Қысқа бейтарап пікір.
22,UgzbMMOmNRktGAmcEwJ4AaABAg,Осындай ақылды АЗАМАТТАРЫМЫЗ  КӨП ЕДІ ҒОЙ  қазір  көбіі үндемей қалған неге?жоспарлап  тиянақты жеңіске жетесіңдер бірлікті  сақтап барын бағалау керек...,kk,True,False,False,False,False,False,False,"Қолдау және ынталандыру, токсиктілік жоқ."
23,UgyOgpJvLjLbT9bxs_F4AaABAg,Қарғыстың ең жаманы...,kk,True,True,True,False,False,True,False,'Қарғыстың ең жаманы' деген сөздер кемсіту және агрессияны білдіреді.
24,UgzAyXp7JzCUolxHo754AaABAg,"Санжар ! Айналайвн жанын ашып Казагына , барлыгы озын дей болса , Булар не бытырып жур , мвнау арамдык кой, Оздерын силамаган Министрлер арам тамактар , Орыстарга жем болган сороылар !!Депутатар кайда карап отыр ,? Мынау Казакты козбе коз коздерын бакырайтып ТОНАУ Гой,Прокуратура,Ышкы ыстер Министрлер кайда караула.        НАМЫС кайда КАЗАГЫМ тал тусте Казактын каражатын ОРЫСТАР жымкырып жатыр гой ???",kk,True,True,True,False,False,True,False,Пікірде билік пен орыстарға қатысты кемсіту және агрессия бар.
25,UgxexXM-8k810gKT-ld4AaABAg,❗ ӨЗ ТУҒАН ХАЛҚЫНА БИЗНЕС ЖАСАМАСЫН ❗ Масқара бұл!    ҚҰЙТЫРҚЫ МИНИСТР ОРНЫН БОСАТСЫН ❗,kk,True,True,True,False,False,True,False,"'Масқара', 'құйтырқы' деген сөздер арқылы кемсіту және агрессия бар."
26,Ugyz71e1NDK5q3PNEPx4AaABAg,"Аман бол, балам! Тойымсыздық деген кейінгілерге сабақ болсын. Осыларды ұстап, жауап алатындар тексергеннің орнына белсенділерді ұстаумен, солардың аузын жабумен әлек.",kk,True,True,True,False,False,False,False,"Пікірде белсенділерді ұстау және ауыз жабу туралы сын бар, агрессия байқалады."
27,Ugz35ksMdo9yMR7hi0p4AaABAg,"Петитция деген далбаса 50000 емес 50млн кол жинасанда буларга барибир...
Автопром халыкты канау аркылы жузеге асса ,бул болашагы жок
Санжар ауре болдынау.....саган рахмет халыктын козин аштын",kk,True,True,True,False,False,False,False,"Пікірде жүйеге деген наразылық және сын бар, бірақ балағат сөз жоқ."
28,Ugx5EQrTW3qAbUOfBUl4AaABAg,Бектенов мырза көріп отырсыз ба?!!!!!!! Жауап күтемін!!!!!! Нұрлан Оралбаев 86,kk,True,False,False,False,False,False,False,"Сұрау және жауап күту, токсиктілік жоқ."
29,UgxgCEwjLFkpnt4mMHt4AaABAg,Жогарыда отыргандардын бари отирикши урлык жасагандары бари отыз жыл боигы жасаган жумыстарына жауап беру керек ал тендрди жок кылу керек бул урыларга акша урлау  ал  сол тендирди жаи бизнеспен аиналысытындар ута алмаиды ол тек жогарыдагылардын махинациясы акаштарга обол болган санжар сизге улкен рахмет бунын артында тагыда калталы адам тур,kk,True,True,True,False,False,False,False,"Пікірде сыни және агрессивті реңк бар, бірақ балағат сөздер жоқ."
30,Ugwb0xbQdTbVUp-Bpal4AaABAg,Санжар сен ісің дұрыс тоқтама алдыға,kk,True,False,False,False,False,False,False,"Пікірде агрессия немесе дөрекілік жоқ, қолдау білдіру сипатында."
31,UgwsksjHM4ftKV8LhXd4AaABAg,Тысячи лайков за Пластиковыю Ручку Оян қазақ Ойлан қазақ Алға қазақ,kk,True,False,False,False,False,False,False,"Пікір позитивті, ұран ретінде жазылған, токсиктілік жоқ."
32,Ugy-9TVKw1Urq_3ADWZ4AaABAg,Тарих куә бір билік құлау алдында әр түрлі әйтеуір болмайтын бірдеңе ойлап шығады оған халық қарсы шығады сөйтіп ол билік құлайды міне осылай аяқтайды бұл билік өздері елге күлкілі болып😂,kk,True,False,False,False,False,False,False,"Пікір тарихи оқиғаға қатысты, агрессия немесе дөрекілік жоқ."
33,UgxegngUUR9-pwP-US54AaABAg,"Байбектің былықтарын Мамай  әшкерелеген кезде сен неге осыларды айтпадың? Соттасып қанша әлекшілікке түсті. Бір ауыз үндемедің сол кезде. Енді келіп,бір жаңалық ашқандай болып тұрсың.",kk,True,False,False,False,False,False,False,"Сұрақ түрінде жазылған сын, бірақ дөрекілік немесе қорлау жоқ."
34,Ugz1S6wMVJAUEyzrexd4AaABAg,Масқара.,kk,True,True,True,False,False,False,False,"«Масқара» сөзі сын ретінде қолданылып, агрессивті реңк бар."
